# Niv-Mizzet, Parun — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         34  [34-37]    in_range  (suelo Karsten: 33, objetivo: 34)
ramp          11  [ 8-11]    in_range
card_draw     14  [10-14]    in_range
removal       12  [ 8-12]    in_range
board_wipe     3  [ 2- 4]    in_range
wincons        2  [ 2- 4]    in_range
synergy       27  [ 0-30]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

1x Faithless Looting                          score 0.71  [synergy]  relleno por score 0.71
1x Guttersnipe                                score 0.69  [synergy]  relleno por score 0.69
1x Gitaxian Probe                             score 0.65  [synergy]  relleno por score 0.65
1x Harmonic Prodigy                           score 0.64  [synergy]  relleno por score 0.64
1x Deflecting Swat                            score 0.55  [synergy]  relleno por score 0.55
1x Narset, Parter of Veils                    score 0.51  [synergy]  relleno por score 0.51
1x Consider                                   score 0.51  [synergy]  relleno por score 0.51
1x Psychosis Crawler                          score 0.47  [synergy]  relleno por score 0.47
1x Serum Visions                              score 0.42  [synergy]  relleno por score 0.42
1x Talrand, Sky Summoner                      score 0.41  [synergy]  relleno por score 0.41
1x Narset's Reversal                          score 0.40  [synergy]  relleno por score 0.40
1x Jeska's Will                               score 0.40  [synergy]  relleno por score 0.40
1x Winds of Change                            score 0.37  [synergy]  relleno por score 0.37
1x Lotus Petal                                score 0.33  [synergy]  relleno por score 0.33
1x Isochron Scepter                           score 0.32  [synergy]  relleno por score 0.32
1x Veyran, Voice of Duality                   score 0.30  [synergy]  relleno por score 0.30
1x Spellskite                                 score 0.30  [synergy]  relleno por score 0.30
1x Misdirection                               score 0.26  [synergy]  relleno por score 0.26
1x Electrostatic Field                        score 0.26  [synergy]  relleno por score 0.26
1x Solve the Equation                         score 0.26  [synergy]  relleno por score 0.26
1x Sensei's Divining Top                      score 0.26  [synergy]  relleno por score 0.26
1x Young Pyromancer                           score 0.26  [synergy]  relleno por score 0.26
1x Dragonologist                              score 0.25  [synergy]  relleno por score 0.25

## Maybeboard (15)
1x Negate                                     score 0.58  [removal]  fuera: cuota llena en removal
1x Mana Drain                                 score 0.58  [removal]  fuera: cuota llena en removal
1x Rapid Hybridization                        score 0.56  [removal]  fuera: cuota llena en removal
1x Force of Negation                          score 0.52  [removal]  fuera: cuota llena en removal
1x Snap                                       score 0.43  [removal]  fuera: cuota llena en removal
1x Flame of Anor                              score 0.42  [card_draw/removal]  fuera: cuota llena en card_draw/removal
1x Abrade                                     score 0.42  [removal]  fuera: cuota llena en removal
1x Chaos Warp                                 score 0.39  [removal]  fuera: cuota llena en removal
1x Pact of Negation                           score 0.37  [removal]  fuera: cuota llena en removal
1x Thought Vessel                             score 0.36  [ramp]  fuera: cuota llena en ramp
1x Valakut Awakening // Valakut Stoneforge    score 0.35  [card_draw/lands]  fuera por score 0.35
1x Muddle the Mixture                         score 0.33  [removal]  fuera: cuota llena en removal
1x Dispel                                     score 0.33  [removal]  fuera: cuota llena en removal
1x Flusterstorm                               score 0.31  [removal]  fuera: cuota llena en removal
1x Otawara, Soaring City                      score 0.28  [lands/removal]  fuera por score 0.28
