# Krenko, Mob Boss — selector greedy (prototipo Fase 3)
# Construido en 0.00s | mainboard: 99 cartas

## Resumen de cuotas
categoría      n  banda      estado
lands         35  [33-36]    in_range  (suelo Karsten: 35, objetivo: 35)
ramp          12  [ 7-12]    in_range
card_draw     10  [ 8-11]    in_range
removal       11  [ 6-11]    in_range
board_wipe     1  [ 1- 3]    in_range
wincons        0  [ 0- 4]    in_range
synergy       35  [ 0-35]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

1x General Kreat, the Boltbringer             score 0.96  [synergy]  relleno por score 0.96
1x Warren Instigator                          score 0.91  [synergy]  relleno por score 0.91
1x Lightning Greaves                          score 0.90  [protection]  relleno por score 0.90
1x Krenko's Command                           score 0.88  [synergy]  relleno por score 0.88
1x Hexing Squelcher                           score 0.88  [protection]  relleno por score 0.88
1x Thousand-Year Elixir                       score 0.87  [synergy]  relleno por score 0.87
1x Deflecting Swat                            score 0.81  [protection]  relleno por score 0.81
1x Rundvelt Hordemaster                       score 0.80  [synergy]  relleno por score 0.80
1x Sting, the Glinting Dagger                 score 0.77  [synergy]  relleno por score 0.77
1x Dragon Fodder                              score 0.70  [synergy]  relleno por score 0.70
1x Goblin Piledriver                          score 0.67  [synergy]  relleno por score 0.67
1x Umbral Mantle                              score 0.65  [synergy]  relleno por score 0.65
1x Marvin, Murderous Mimic                    score 0.64  [synergy]  relleno por score 0.64
1x Legion Warboss                             score 0.63  [synergy]  relleno por score 0.63
1x Goro-Goro, Disciple of Ryusei              score 0.63  [synergy]  relleno por score 0.63
1x Treasure Nabber                            score 0.62  [synergy]  relleno por score 0.62
1x Moggcatcher                                score 0.61  [synergy]  relleno por score 0.61
1x Coat of Arms                               score 0.59  [synergy]  relleno por score 0.59
1x Boggart Shenanigans                        score 0.57  [synergy]  relleno por score 0.57
1x Hordeling Outburst                         score 0.57  [synergy]  relleno por score 0.57
1x Goblin Instigator                          score 0.57  [synergy]  relleno por score 0.57

## Maybeboard (15)
