# Krenko, Mob Boss — selector CP-SAT (prototipo Fase 3)
# Construido en 0.03s | mainboard: 99 cartas
# Solver: status OPTIMAL, 0.01s de resolución, etapa de relajación: none
# Objetivo: 52.0256 (score bruto 52.0308, penalizaciones escaladas 5132)
# Fixing color (fuentes/objetivo): R: 37/38 (déficit 1)

## Resumen de cuotas
categoría      n  banda      estado
lands         36  [36-39]    in_range  (suelo Karsten: 34, mínimo efectivo: 36)
ramp          12  [ 9-12]    in_range
card_draw     11  [ 9-12]    in_range
removal       11  [ 8-11]    in_range
board_wipe     3  [ 3- 5]    in_range
wincons        3  [ 2- 4]    in_range
synergy       28  [ 0-28]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

### lands (36)
1x Swiftfoot Boots                            score 0.68  [synergy]  cp-sat, score 0.68
1x Goblin Piledriver                          score 0.65  [synergy]  cp-sat, score 0.65
1x Kiki-Jiki, Mirror Breaker                  score 0.65  [synergy]  cp-sat, score 0.65
1x Beetleback Chief                           score 0.65  [synergy]  cp-sat, score 0.65

## Maybeboard (15)
1x Hexing Squelcher                           score 0.65  [synergy]  fuera: cuota llena en synergy
1x Lightning Greaves                          score 0.64  [synergy]  fuera: cuota llena en synergy
1x Mogg War Marshal                           score 0.62  [synergy]  fuera: cuota llena en synergy
1x Sting, the Glinting Dagger                 score 0.61  [synergy]  fuera: cuota llena en synergy
1x Thousand-Year Elixir                       score 0.59  [synergy]  fuera: cuota llena en synergy
1x Goro-Goro, Disciple of Ryusei              score 0.54  [synergy]  fuera: cuota llena en synergy
1x Empty the Warrens                          score 0.54  [synergy]  fuera: cuota llena en synergy
1x Grenzo, Havoc Raiser                       score 0.53  [synergy]  fuera: cuota llena en synergy
1x Raid Bombardment                           score 0.52  [synergy]  fuera: cuota llena en synergy
1x Searslicer Goblin                          score 0.52  [synergy]  fuera: cuota llena en synergy
1x Quest for the Goblin Lord                  score 0.51  [synergy]  fuera: cuota llena en synergy
1x Marvin, Murderous Mimic                    score 0.51  [synergy]  fuera: cuota llena en synergy
1x Goblin Motivator                           score 0.50  [synergy]  fuera: cuota llena en synergy
1x Coat of Arms                               score 0.50  [synergy]  fuera: cuota llena en synergy
1x Siege-Gang Lieutenant                      score 0.46  [removal]  fuera: cuota llena en removal
