# Niv-Mizzet, Parun — selector CP-SAT (prototipo Fase 3)
# Construido en 0.02s | mainboard: 99 cartas
# Solver: status OPTIMAL, 0.01s de resolución, etapa de relajación: none
# Objetivo: 43.0974 (score bruto 43.1026, penalizaciones escaladas 5132)
# Fixing color (fuentes/objetivo): R: 34/35 (déficit 1), U: 35/35

## Resumen de cuotas
categoría      n  banda      estado
lands         36  [36-39]    in_range  (suelo Karsten: 33, mínimo efectivo: 36)
ramp          12  [ 9-12]    in_range
card_draw     12  [ 9-12]    in_range
removal       11  [ 8-11]    in_range
board_wipe     5  [ 3- 5]    in_range
wincons        2  [ 2- 4]    in_range
synergy       25  [ 0-28]    in_range

# Nota: una carta multicategoría cuenta en todas sus categorías,
# por eso la suma de conteos puede superar 99.

## Mainboard (99)

1x Talrand, Sky Summoner                      score 0.59  [synergy]  cp-sat, score 0.59
1x Psychosis Crawler                          score 0.56  [synergy]  cp-sat, score 0.56
1x Harmonic Prodigy                           score 0.51  [synergy]  cp-sat, score 0.51
1x Electrostatic Field                        score 0.46  [synergy]  cp-sat, score 0.46
1x Young Pyromancer                           score 0.42  [synergy]  cp-sat, score 0.42
1x Narset, Parter of Veils                    score 0.33  [synergy]  cp-sat, score 0.33
1x Thousand-Year Storm                        score 0.30  [synergy]  cp-sat, score 0.30
1x Fiery Inscription                          score 0.30  [synergy]  cp-sat, score 0.30
1x Stormcatch Mentor                          score 0.29  [synergy]  cp-sat, score 0.29
1x Propaganda                                 score 0.29  [synergy]  cp-sat, score 0.29
1x Expressive Iteration                       score 0.26  [synergy]  cp-sat, score 0.26
1x Torbran, Thane of Red Fell                 score 0.26  [synergy]  cp-sat, score 0.26
1x Deflecting Swat                            score 0.26  [synergy]  cp-sat, score 0.26
1x Murmuring Mystic                           score 0.26  [synergy]  cp-sat, score 0.26
1x Veyran, Voice of Duality                   score 0.25  [synergy]  cp-sat, score 0.25
1x Swiftfoot Boots                            score 0.24  [synergy]  cp-sat, score 0.24
1x Coruscation Mage                           score 0.24  [synergy]  cp-sat, score 0.24
1x Dig Through Time                           score 0.23  [synergy]  cp-sat, score 0.23
1x Misdirection                               score 0.22  [synergy]  cp-sat, score 0.22
1x Mizzix's Mastery                           score 0.21  [synergy]  cp-sat, score 0.21
1x Bolt Bend                                  score 0.20  [synergy]  cp-sat, score 0.20
1x Spellskite                                 score 0.20  [synergy]  cp-sat, score 0.20
1x Thermo-Alchemist                           score 0.18  [synergy]  cp-sat, score 0.18

## Maybeboard (15)
1x Niv-Mizzet, the Firemind                   score 0.82  [card_draw/removal]  fuera: cuota llena en card_draw/removal
1x Izzet Charm                                score 0.74  [card_draw/removal]  fuera: cuota llena en card_draw/removal
1x Archmage Emeritus                          score 0.61  [card_draw]  fuera: cuota llena en card_draw
1x Arcane Denial                              score 0.60  [card_draw/removal]  fuera: cuota llena en card_draw/removal
1x Consider                                   score 0.58  [card_draw]  fuera: cuota llena en card_draw
1x Commander's Sphere                         score 0.58  [card_draw/ramp]  fuera: cuota llena en card_draw/ramp
1x Baral, Chief of Compliance                 score 0.56  [card_draw]  fuera: cuota llena en card_draw
1x Serum Visions                              score 0.50  [card_draw]  fuera: cuota llena en card_draw
1x Thrill of Possibility                      score 0.49  [card_draw]  fuera: cuota llena en card_draw
1x Gitaxian Probe                             score 0.47  [card_draw]  fuera: cuota llena en card_draw
1x Teferi's Ageless Insight                   score 0.45  [card_draw]  fuera: cuota llena en card_draw
1x Treasure Cruise                            score 0.43  [card_draw]  fuera: cuota llena en card_draw
1x Snap                                       score 0.38  [removal]  fuera: cuota llena en removal
1x Flame of Anor                              score 0.38  [card_draw/removal]  fuera: cuota llena en card_draw/removal
1x Chaos Warp                                 score 0.36  [removal]  fuera: cuota llena en removal
